Block,X [mm],Y [mm],,Interface,Len [mm],Ds [mm],Fi [deg],Depth [mm],Weight [N],,Fx_lam [N],Fy_lam [N],Backfill_Added
Block 1,26.647884,0.000000,,Interface 1,30.000000,32.881090,62.655756,50.000000,0.405386,,0.000000,0.000000,No
Block 1,42.952150,25.067824,,Interface 2,30.000000,32.881090,51.263800,50.000000,0.405386,,,,
Block 1,19.551093,43.839893,,Interface 3,30.000000,32.881090,39.871845,50.000000,0.405386,,,,
Block 1,0.000000,13.780068,,Interface 4,30.000000,32.881090,28.479889,50.000000,0.405386,,,,
Block 1,26.647884,0.000000,,Interface 5,30.000000,32.881090,17.087933,50.000000,0.405386,,,,
Block 2,42.952150,25.067824,,Interface 6,30.000000,32.881090,5.695978,50.000000,0.405386,,0.000000,-1.000000,No
Block 2,63.886594,46.421371,,Interface 7,30.000000,32.881090,-5.695978,50.000000,1.293514,,,,
Block 2,44.654417,69.445780,,Interface 8,30.000000,32.881090,-17.087933,50.000000,1.293552,,,,
Block 2,19.551093,43.839893,,Interface 9,30.000000,32.881090,-28.479889,50.000000,1.293552,,,,
Block 2,42.952150,25.067824,,Interface 10,30.000000,32.881090,-39.871845,50.000000,1.293552,,,,
Block 3,63.886594,46.421371,,Interface 11,30.000000,32.881090,-51.263800,50.000000,1.293552,,0.000000,0.000000,No
Block 3,88.626353,63.219265,,Interface 12,30.000000,,-62.655756,50.000000,,,,,
Block 3,74.320845,89.588802,,,,,,,,,,,
Block 3,44.654417,69.445780,,,,,,,,,,,
Block 3,63.886594,46.421371,,,,,,,,,,,
Block 4,88.626353,63.219265,,,,,,,,,0.000000,0.000000,No
Block 4,116.196627,74.799633,,,,,,,,,,,
Block 4,107.381456,103.475280,,,,,,,,,,,
Block 4,74.320845,89.588802,,,,,,,,,,,
Block 4,88.626353,63.219265,,,,,,,,,,,
Block 5,116.196627,74.799633,,,,,,,,,0.000000,0.000000,No
Block 5,145.511087,80.706182,,,,,,,,,,,
Block 5,142.533590,110.558058,,,,,,,,,,,
Block 5,107.381456,103.475280,,,,,,,,,,,
Block 5,116.196627,74.799633,,,,,,,,,,,
Block 6,145.511087,80.706182,,,,,,,,,0.000000,0.000000,No
Block 6,175.414681,80.706182,,,,,,,,,,,
Block 6,178.392178,110.558058,,,,,,,,,,,
Block 6,142.533590,110.558058,,,,,,,,,,,
Block 6,145.511087,80.706182,,,,,,,,,,,
Block 7,175.414681,80.706182,,,,,,,,,0.000000,0.000000,Yes
Block 7,204.729141,74.799633,,,,,,,,,,,
Block 7,213.544312,103.475280,,,,,,,,,,,
Block 7,178.392178,110.558058,,,,,,,,,,,
Block 7,175.414681,80.706182,,,,,,,,,,,
Backfill 7,229.002952,153.762056,,,,,,,,,,,
Backfill 7,213.544312,103.475280,,,,,,,,,,,
Backfill 7,178.392178,110.558058,,,,,,,,,,,
Backfill 7,183.613232,162.903464,,,,,,,,,,,
Backfill 7,229.002952,153.762056,,,,,,,,,,,
Block 8,204.729141,74.799633,,,,,,,,,0.000000,0.000000,Yes
Block 8,232.299415,63.219265,,,,,,,,,,,
Block 8,246.604923,89.588802,,,,,,,,,,,
Block 8,213.544312,103.475280,,,,,,,,,,,
Block 8,204.729141,74.799633,,,,,,,,,,,
Backfill 8,271.691640,135.831487,,,,,,,,,,,
Backfill 8,246.604923,89.588802,,,,,,,,,,,
Backfill 8,213.544312,103.475280,,,,,,,,,,,
Backfill 8,229.002952,153.762056,,,,,,,,,,,
Backfill 8,271.691640,135.831487,,,,,,,,,,,
Block 9,232.299415,63.219265,,,,,,,,,0.000000,0.000000,Yes
Block 9,257.039174,46.421371,,,,,,,,,,,
Block 9,276.271351,69.445780,,,,,,,,,,,
Block 9,246.604923,89.588802,,,,,,,,,,,
Block 9,232.299415,63.219265,,,,,,,,,,,
Backfill 9,309.997674,109.822313,,,,,,,,,,,
Backfill 9,276.271351,69.445780,,,,,,,,,,,
Backfill 9,246.604923,89.588802,,,,,,,,,,,
Backfill 9,271.691640,135.831487,,,,,,,,,,,
Backfill 9,309.997674,109.822313,,,,,,,,,,,
Block 10,257.039174,46.421371,,,,,,,,,0.000000,0.000000,Yes
Block 10,277.973618,25.067824,,,,,,,,,,,
Block 10,301.374674,43.839893,,,,,,,,,,,
Block 10,276.271351,69.445780,,,,,,,,,,,
Block 10,257.039174,46.421371,,,,,,,,,,,
Backfill 10,309.997674,109.822313,,,,,,,,,,,
Backfill 10,276.271351,69.445780,,,,,,,,,,,
Backfill 10,301.374674,43.839893,,,,,,,,,,,
Backfill 10,342.411714,76.759351,,,,,,,,,,,
Backfill 10,309.997674,109.822313,,,,,,,,,,,
Block 11,277.973618,25.067824,,,,,,,,,0.000000,0.000000,Yes
Block 11,294.277884,0.000000,,,,,,,,,,,
Block 11,320.925768,13.780068,,,,,,,,,,,
Block 11,301.374674,43.839893,,,,,,,,,,,
Block 11,277.973618,25.067824,,,,,,,,,,,
Backfill 11,367.656575,37.945354,,,,,,,,,,,
Backfill 11,320.925768,13.780068,,,,,,,,,,,
Backfill 11,301.374674,43.839893,,,,,,,,,,,
Backfill 11,342.411714,76.759351,,,,,,,,,,,
Backfill 11,367.656575,37.945354,,,,,,,,,,,
