Block,X [mm],Y [mm],,Interface,Len [mm],Ds [mm],Fi [deg],Depth [mm],Weight [N],,Fx_lam [N],Fy_lam [N],Backfill_Added
Block 12,117.084480,87.410573,,Interface 59,30.000000,11.050864,-21.775365,50.000000,0.136912,,,,
Block 12,108.417032,81.093662,,Interface 60,30.000000,11.050864,-23.019671,50.000000,0.136912,,,,
Block 13,117.084480,87.410573,,Interface 61,30.000000,11.050864,-24.263978,50.000000,0.136912,,0.000000,0.000000,No
Block 13,99.679279,111.845363,,Interface 62,30.000000,11.050864,-25.508285,50.000000,0.136912,,,,
Block 13,109.016577,118.344768,,Interface 63,30.000000,11.050864,-26.752591,50.000000,0.136912,,,,
Block 13,125.887059,93.537776,,Interface 64,30.000000,11.050864,-27.996898,50.000000,0.136912,,,,
Block 13,117.084480,87.410573,,Interface 65,30.000000,11.050864,-29.241204,50.000000,0.136912,,,,
Block 14,125.887059,93.537776,,Interface 66,30.000000,11.050864,-30.485511,50.000000,0.136912,,0.000000,0.000000,No
Block 14,109.016577,118.344768,,Interface 67,30.000000,11.050864,-31.729817,50.000000,0.136912,,,,
Block 14,118.492812,124.639876,,Interface 68,30.000000,11.050864,-32.974124,50.000000,0.136912,,,,
Block 14,134.820618,99.472382,,Interface 69,30.000000,11.050864,-34.218431,50.000000,0.136912,,,,
Block 14,125.887059,93.537776,,Interface 70,30.000000,11.050864,-35.462737,50.000000,0.136912,,,,
Block 15,134.820618,99.472382,,Interface 71,30.000000,11.050864,-36.707044,50.000000,0.136912,,0.483146,-0.875540,No
Block 15,118.492812,124.639876,,Interface 72,30.000000,11.050864,-37.951350,50.000000,0.136912,,,,
Block 15,128.103513,130.727717,,Interface 73,30.000000,11.050864,-39.195657,50.000000,0.136912,,,,
Block 15,143.880943,105.211591,,Interface 74,30.000000,11.050864,-40.439963,50.000000,0.136912,,,,
Block 15,134.820618,99.472382,,Interface 75,30.000000,11.050864,-41.684270,50.000000,0.136912,,,,
Block 16,143.880943,105.211591,,Interface 76,30.000000,11.050864,-42.928577,50.000000,0.136912,,0.000000,0.000000,No
Block 16,128.103513,130.727717,,Interface 77,30.000000,11.050864,-44.172883,50.000000,0.136912,,,,
Block 16,137.844149,136.605422,,Interface 78,30.000000,11.050864,-45.417190,50.000000,0.136912,,,,
Block 16,153.063762,110.752697,,Interface 79,30.000000,11.050864,-46.661496,50.000000,0.136912,,,,
Block 16,143.880943,105.211591,,Interface 80,30.000000,11.050864,-47.905803,50.000000,0.136912,,,,
Block 17,153.063762,110.752697,,Interface 81,30.000000,11.050864,-49.150109,50.000000,0.136912,,0.000000,0.000000,No
Block 17,137.844149,136.605422,,Interface 82,30.000000,,-50.394416,50.000000,,,,,
Block 17,147.710125,142.270217,,,,,,,,,,,
Block 17,162.364744,116.093087,,,,,,,,,,,
Block 17,153.063762,110.752697,,,,,,,,,,,
Block 18,162.364744,116.093087,,,,,,,,,0.000000,0.000000,No
Block 18,147.710125,142.270217,,,,,,,,,,,
Block 18,157.696789,147.719431,,,,,,,,,,,
Block 18,171.779502,121.230241,,,,,,,,,,,
Block 18,162.364744,116.093087,,,,,,,,,,,
Block 19,171.779502,121.230241,,,,,,,,,0.000000,0.000000,No
Block 19,157.696789,147.719431,,,,,,,,,,,
Block 19,167.799431,152.950495,,,,,,,,,,,
Block 19,181.303596,126.161737,,,,,,,,,,,
Block 19,171.779502,121.230241,,,,,,,,,,,
