Block,X [mm],Y [mm],,Interface,Len [mm],Ds [mm],Fi [deg],Depth [mm],Weight [N],,Fx_lam [N],Fy_lam [N],Backfill_Added
Block 1,26.647884,0,,Interface 1,30,32.88109,62.655756,50,0.405386,,0,0,No
Block 1,42.95215,25.067824,,Interface 2,30,32.88109,51.2638,50,0.405386,,,,
Block 1,19.551093,43.839893,,Interface 3,30,32.88109,39.871845,50,0.405386,,,,
Block 1,0,13.780068,,Interface 4,30,32.88109,28.479889,50,0.405386,,,,
Block 1,26.647884,0,,Interface 5,30,32.88109,17.087933,50,0.405386,,,,
Block 2,42.95215,25.067824,,Interface 6,30,32.88109,5.695978,50,0.405386,,0,-1,No
Block 2,63.886594,46.421371,,Interface 7,30,32.88109,-5.695978,50,0.405386,,,,
Block 2,44.654417,69.44578,,Interface 8,30,32.88109,-17.087933,50,0.405386,,,,
Block 2,19.551093,43.839893,,Interface 9,30,32.88109,-28.479889,50,0.405386,,,,
Block 2,42.95215,25.067824,,Interface 10,30,32.88109,-39.871845,50,0.405386,,,,
Block 3,63.886594,46.421371,,Interface 11,30,32.88109,-51.2638,50,0.405386,,0,0,No
Block 3,88.626353,63.219265,,Interface 12,30,,-62.655756,50,,,,,
Block 3,74.320845,89.588802,,,,,,,,,,,
Block 3,44.654417,69.44578,,,,,,,,,,,
Block 3,63.886594,46.421371,,,,,,,,,,,
Block 4,88.626353,63.219265,,,,,,,,,0,0,No
Block 4,116.196627,74.799633,,,,,,,,,,,
Block 4,107.381456,103.47528,,,,,,,,,,,
Block 4,74.320845,89.588802,,,,,,,,,,,
Block 4,88.626353,63.219265,,,,,,,,,,,
Block 5,116.196627,74.799633,,,,,,,,,0,0,No
Block 5,145.511087,80.706182,,,,,,,,,,,
Block 5,142.53359,110.558058,,,,,,,,,,,
Block 5,107.381456,103.47528,,,,,,,,,,,
Block 5,116.196627,74.799633,,,,,,,,,,,
Block 6,145.511087,80.706182,,,,,,,,,0,0,No
Block 6,175.414681,80.706182,,,,,,,,,,,
Block 6,178.392178,110.558058,,,,,,,,,,,
Block 6,142.53359,110.558058,,,,,,,,,,,
Block 6,145.511087,80.706182,,,,,,,,,,,
Block 7,175.414681,80.706182,,,,,,,,,0,0,No
Block 7,204.729141,74.799633,,,,,,,,,,,
Block 7,213.544312,103.47528,,,,,,,,,,,
Block 7,178.392178,110.558058,,,,,,,,,,,
Block 7,175.414681,80.706182,,,,,,,,,,,
Block 8,204.729141,74.799633,,,,,,,,,0,0,No
Block 8,232.299415,63.219265,,,,,,,,,,,
Block 8,246.604923,89.588802,,,,,,,,,,,
Block 8,213.544312,103.47528,,,,,,,,,,,
Block 8,204.729141,74.799633,,,,,,,,,,,
Block 9,232.299415,63.219265,,,,,,,,,0,0,No
Block 9,257.039174,46.421371,,,,,,,,,,,
Block 9,276.271351,69.44578,,,,,,,,,,,
Block 9,246.604923,89.588802,,,,,,,,,,,
Block 9,232.299415,63.219265,,,,,,,,,,,
Block 10,257.039174,46.421371,,,,,,,,,0,0,No
Block 10,277.973618,25.067824,,,,,,,,,,,
Block 10,301.374674,43.839893,,,,,,,,,,,
Block 10,276.271351,69.44578,,,,,,,,,,,
Block 10,257.039174,46.421371,,,,,,,,,,,
Block 11,277.973618,25.067824,,,,,,,,,0,0,No
Block 11,294.277884,0,,,,,,,,,,,
Block 11,320.925768,13.780068,,,,,,,,,,,
Block 11,301.374674,43.839893,,,,,,,,,,,
Block 11,277.973618,25.067824,,,,,,,,,,,
