Block,X [mm],Y [mm],,Interface,Len [mm],Ds [mm],Fi [deg],Depth [mm],Weight [N],,Fx_lam [N],Fy_lam [N],Backfill_Added
Block 12,119.246431,84.303554,,Interface 59,30.000000,11.050864,-23.641825,50.000000,0.136912,,,,
Block 12,110.377839,78.272294,,Interface 60,30.000000,11.050864,-24.886131,50.000000,0.136912,,,,
Block 13,119.246431,84.303554,,Interface 61,30.000000,11.050864,-26.130438,50.000000,0.136912,,0.000000,0.000000,No
Block 13,102.646308,109.292270,,Interface 62,30.000000,11.050864,-27.374744,50.000000,0.136912,,,,
Block 13,112.190338,115.484109,,Interface 63,30.000000,11.050864,-28.619051,50.000000,0.136912,,,,
Block 13,128.243903,90.140805,,Interface 64,30.000000,11.050864,-29.863358,50.000000,0.136912,,,,
Block 13,119.246431,84.303554,,Interface 65,30.000000,11.050864,-31.107664,50.000000,0.136912,,,,
Block 14,128.243903,90.140805,,Interface 66,30.000000,11.050864,-32.351971,50.000000,0.136912,,0.562349,-0.826900,No
Block 14,112.190338,115.484109,,Interface 67,30.000000,11.050864,-33.596277,50.000000,0.136912,,,,
Block 14,121.866577,121.467235,,Interface 68,30.000000,11.050864,-34.840584,50.000000,0.136912,,,,
Block 14,137.366013,95.781295,,Interface 69,30.000000,11.050864,-36.084890,50.000000,0.136912,,,,
Block 14,128.243903,90.140805,,Interface 70,30.000000,11.050864,-37.329197,50.000000,0.136912,,,,
Block 15,137.366013,95.781295,,Interface 71,30.000000,11.050864,-38.573504,50.000000,0.136912,,0.000000,0.000000,No
Block 15,121.866577,121.467235,,Interface 72,30.000000,11.050864,-39.817810,50.000000,0.136912,,,,
Block 15,131.670462,127.238825,,Interface 73,30.000000,11.050864,-41.062117,50.000000,0.136912,,,,
Block 15,146.608458,101.222364,,Interface 74,30.000000,11.050864,-42.306423,50.000000,0.136912,,,,
Block 15,137.366013,95.781295,,Interface 75,30.000000,11.050864,-43.550730,50.000000,0.136912,,,,
Block 16,146.608458,101.222364,,Interface 76,30.000000,11.050864,-44.795036,50.000000,0.136912,,0.000000,0.000000,No
Block 16,131.670462,127.238825,,Interface 77,30.000000,11.050864,-46.039343,50.000000,0.136912,,,,
Block 16,141.597367,132.796157,,Interface 78,30.000000,11.050864,-47.283649,50.000000,0.136912,,,,
Block 16,155.966880,106.461445,,Interface 79,30.000000,,-48.527956,50.000000,,,,,
Block 16,146.608458,101.222364,,,,,,,,,,,
Block 17,155.966880,106.461445,,,,,,,,,0.000000,0.000000,No
Block 17,141.597367,132.796157,,,,,,,,,,,
Block 17,151.642612,138.136611,,,,,,,,,,,
Block 17,165.436864,111.496067,,,,,,,,,,,
Block 17,155.966880,106.461445,,,,,,,,,,,
Block 18,165.436864,111.496067,,,,,,,,,0.000000,0.000000,No
Block 18,151.642612,138.136611,,,,,,,,,,,
Block 18,161.801459,143.257668,,,,,,,,,,,
Block 18,175.013944,116.323856,,,,,,,,,,,
Block 18,165.436864,111.496067,,,,,,,,,,,
Block 19,175.013944,116.323856,,,,,,,,,0.000000,0.000000,No
Block 19,161.801459,143.257668,,,,,,,,,,,
Block 19,172.069117,148.156912,,,,,,,,,,,
Block 19,184.693605,120.942535,,,,,,,,,,,
Block 19,175.013944,116.323856,,,,,,,,,,,
Block 20,184.693605,120.942535,,,,,,,,,0.000000,0.000000,No
Block 20,172.069117,148.156912,,,,,,,,,,,
Block 20,182.440744,152.832033,,,,,,,,,,,
Block 20,194.471279,125.349926,,,,,,,,,,,
Block 20,184.693605,120.942535,,,,,,,,,,,
Block 21,194.471279,125.349926,,,,,,,,,0.000000,0.000000,No
