Block,X [mm],Y [mm],,Interface,Len [mm],Ds [mm],Fi [deg],Depth [mm],Weight [N],,Fx_lam [N],Fy_lam [N],Backfill_Added
Block 13,73.377478,53.728609,,,,,,,,,0.000000,0.000000,No
Block 13,56.035314,78.208179,,,,,,,,,,,
Block 13,61.977992,82.243161,,,,,,,,,,,
Block 13,78.333263,57.093506,,,,,,,,,,,
Block 13,73.377478,53.728609,,,,,,,,,,,
Block 14,78.333263,57.093506,,,,,,,,,0.000000,0.000000,No
Block 14,61.977992,82.243161,,,,,,,,,,,
Block 14,68.076383,86.038702,,,,,,,,,,,
Block 14,83.418902,60.258727,,,,,,,,,,,
Block 14,78.333263,57.093506,,,,,,,,,,,
Block 15,83.418902,60.258727,,,,,,,,,0.000000,0.000000,No
Block 15,68.076383,86.038702,,,,,,,,,,,
Block 15,74.320845,89.588802,,,,,,,,,,,
Block 15,88.626353,63.219265,,,,,,,,,,,
Block 15,83.418902,60.258727,,,,,,,,,,,
Block 16,88.626353,63.219265,,,,,,,,,0.000000,0.000000,No
Block 16,74.320845,89.588802,,,,,,,,,,,
Block 16,80.701504,92.887846,,,,,,,,,,,
Block 16,93.947383,65.970442,,,,,,,,,,,
Block 16,88.626353,63.219265,,,,,,,,,,,
Block 17,93.947383,65.970442,,,,,,,,,0.000000,0.000000,No
Block 17,80.701504,92.887846,,,,,,,,,,,
Block 17,87.208272,95.930620,,,,,,,,,,,
Block 17,99.373580,68.507906,,,,,,,,,,,
Block 17,93.947383,65.970442,,,,,,,,,,,
Block 18,99.373580,68.507906,,,,,,,,,0.000000,0.000000,No
Block 18,87.208272,95.930620,,,,,,,,,,,
Block 18,93.830862,98.712313,,,,,,,,,,,
Block 18,104.896364,70.827646,,,,,,,,,,,
Block 18,99.373580,68.507906,,,,,,,,,,,
Block 19,104.896364,70.827646,,,,,,,,,0.000000,0.000000,No
Block 19,93.830862,98.712313,,,,,,,,,,,
Block 19,100.558802,101.228526,,,,,,,,,,,
Block 19,110.507003,72.925994,,,,,,,,,,,
Block 19,104.896364,70.827646,,,,,,,,,,,
Block 20,110.507003,72.925994,,,,,,,,,0.000000,0.000000,No
Block 20,100.558802,101.228526,,,,,,,,,,,
Block 20,107.381456,103.475280,,,,,,,,,,,
Block 20,116.196627,74.799633,,,,,,,,,,,
Block 20,110.507003,72.925994,,,,,,,,,,,
Block 21,116.196627,74.799633,,,,,,,,,0.000000,0.000000,No
Block 21,107.381456,103.475280,,,,,,,,,,,
